Country of birth(b),2015,2025
,'000,'000
India,449.04,971.02
England,1006.54,970.95
China,508.87,731.54
New Zealand,575.43,637.68
Philippines,241.13,412.53
Vietnam,235.59,326.63
South Africa,177.39,229.95
Nepal,50.15,213.58
Sri Lanka,119.7,184.8
Malaysia,143.42,184.32
Total overseas-born,6729.73,8833.71
Australian-born,17086.27,18779.95
Total population,23816,27613.65
